product_id,product_name,product_amount,product_description,product_photo,batch_id,batch_amount,batch_status,product_date_created,upper_material,upper_craftsman,insole_material,insole_craftsman,lining_material,lining_craftsman,outsole_material,outsole_craftsman,shoelaces_material,shoelaces_craftsman
PRD25,Atlas Sneaker White,10,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P25,BT1,10,belum dibuat,05/16/2024,Kenaf Fibers and Ramie (Red Pull Tap),Regi Muhammar,Latex,Alda Ellsa Faradilla,Null,Regi Muhammar,Natural Raw Rubber (Crepe Sole),Regi Muhammar,Recycled Polyester,Regi Muhammar
PRD26,Atlas Sneaker White,12,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P26,BT2,12,selesai,05/17/2024,Kenaf Fibers and Ramie (Red Pull Tap),Alda Ellsa Faradilla,Latex,Regi Muhammar,Null,Regi Muhammar,Natural Raw Rubber (Crepe Sole),Zildan Faisal,Recycled Polyester,Zildan Faisal
PRD27,Atlas Sneaker White,8,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P27,BT3,8,selesai,05/18/2024,Kenaf Fibers and Ramie (Red Pull Tap),Regi Muhammar,Latex,Alda Ellsa Faradilla,Null,Alda Ellsa Faradilla,Natural Raw Rubber (Crepe Sole),Zildan Faisal,Recycled Polyester,Zildan Faisal
PRD28,Atlas Sneaker White,15,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,P28,BT4,15,belum dibuat,05/19/2024,Kenaf Fibers and Ramie (Red Pull Tap),Zildan Faisal,Latex,Regi Muhammar,Null,Alda Ellsa Faradilla,Natural Raw Rubber (Crepe Sole),Regi Muhammar,Recycled Polyester,Regi Muhammar
PRD29,Saki Sneakers - Soybean,7,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P29,BT5,7,selesai,05/20/2024,Recycled Cotton,Zildan Faisal,Natural Rubber,Zildan Faisal,Beech tree fiber,Zildan Faisal,Thermoplastic Rubber,Wiwit Atika,Recycled Polyester,Wiwit Atika
PRD30,Saki Sneakers - Soybean,5,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P30,BT6,5,selesai,05/21/2024,Recycled Cotton,Regi Muhammar,Natural Rubber,Zildan Faisal,Beech tree fiber,Alda Ellsa Faradilla,Thermoplastic Rubber,Wiwit Atika,Recycled Polyester,Juanda Felix
PRD31,Saki Sneakers - Soybean,12,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P31,BT7,12,belum dibuat,05/22/2024,Recycled Cotton,Wiwit Atika,Natural Rubber,Regi Muhammar,Beech tree fiber,Alda Ellsa Faradilla,Thermoplastic Rubber,Wiwit Atika,Recycled Polyester,Regi Muhammar
PRD32,Saki Sneakers - Soybean,13,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",P32,BT8,13,selesai,05/23/2024,Recycled Cotton,Juanda Felix,Natural Rubber,Wiwit Atika,Beech tree fiber,Regi Muhammar,Thermoplastic Rubber,Regi Muhammar,Recycled Polyester,Wiwit Atika
PRD33,Kotta Hybrid Sneakers - Skeleton,18,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",P33,BT9,18,belum dibuat,05/24/2024,Recycled Cotton,Iqbal Inggil,EVA,Juanda Felix,Null,Alda Ellsa Faradilla,Natural Rubber,Alda Ellsa Faradilla,Cotton,Juanda Felix
PRD34,Kotta Hybrid Sneakers - Skeleton,24,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",P34,BT10,24,belum dibuat,05/25/2024,Recycled Cotton,Iqbal Inggil,EVA,Iqbal Inggil,Null,Regi Muhammar,Natural Rubber,Alda Ellsa Faradilla,Cotton,Alda Ellsa Faradilla
